epoch,train_total,train_coarse_kd,train_feat_kd,train_gt_sup,val_total,val_coarse_kd,val_feat_kd,val_gt_sup
1,7.125312663184272,2.6461106533474394,4.5147340732150605,2.2218349658118353,6.828960018157959,2.444263229370117,4.239982566833496,2.2647055625915526
2,5.543898482852512,1.8391958326763578,3.85258245256212,1.7784114244249132,5.213431053161621,1.6856845664978026,3.62777193069458,1.7138605165481566
3,4.8310421074761285,1.555458812713623,3.3983436679840087,1.576411460240682,4.542230815887451,1.4633297538757324,3.2031836032867433,1.477309250831604
4,4.407110399670071,1.4012812704510158,3.113100522359212,1.44927886750963,4.239562311172485,1.286204981803894,3.072017707824707,1.4173484945297241
5,4.178694282107883,1.3129382530848186,3.02498628616333,1.353262882232666,4.154556760787964,1.283392629623413,3.011256694793701,1.3655358266830444
6,4.071041366789076,1.252367009586758,3.0231248802608914,1.3071119287278916,4.048641338348388,1.23439790725708,3.037556505203247,1.2954651927947998
7,3.9647948307461207,1.1981985852453443,2.971632781558567,1.2807798629336886,3.912951955795288,1.1597460985183716,2.990722904205322,1.2578443956375123
8,3.9221391836802164,1.1697052478790284,2.981400988896688,1.2617334355248346,3.810410108566284,1.1059328866004945,2.984139585494995,1.2124074363708497
9,3.825290840996636,1.1323014789157444,2.9539964962005616,1.2159911166297064,3.741942195892334,1.0795659494400025,2.9302350521087646,1.1972587060928346
10,3.7889510832892523,1.111571926805708,2.946570675108168,1.204093838267856,3.7889723682403567,1.124454026222229,2.948276176452637,1.1903802824020386
11,3.762743870417277,1.097515458001031,2.932550695207384,1.1989530727598403,3.823943605422974,1.1028318047523498,2.995680122375488,1.2232717561721802
12,3.6973068534003364,1.0676567861768935,2.940651148690118,1.1593244745996263,3.70559045791626,0.9612840676307678,2.930453758239746,1.279079532623291
13,3.707442861133152,1.0710570814874436,2.9354947990841334,1.1686383697721694,3.7484527015686036,1.1033412551879882,2.937547845840454,1.1763375115394592
14,3.691206903457642,1.0635074281692505,2.9395465946197508,1.1579261795679727,3.6552302646636963,1.0239845252037048,2.9686286354064944,1.1469314193725586
15,3.651075563430786,1.0434845770729912,2.9295191118452286,1.142831425666809,3.655260610580444,1.0382832741737367,2.9458980846405027,1.1440282583236694
16,3.631439889272054,1.0370061339272394,2.930564128028022,1.12915169345008,3.6735960388183595,1.0277716851234435,2.859715852737427,1.215966408252716
17,3.630187299516466,1.03738967789544,2.928403188917372,1.128596030606164,3.5871558570861817,0.9930337381362915,2.9479406547546385,1.1201518201828002
18,3.5924073611365426,1.0190467323197259,2.924874373541938,1.1109234550264147,3.580651893615723,1.0031316256523133,2.9401543521881104,1.1074431109428406
19,3.5954302014244925,1.016959768401252,2.913214963277181,1.1218629545635648,3.583990249633789,0.9938311839103698,2.9636902618408203,1.1083139443397523
20,3.589559440612793,1.0219426374965244,2.9107772911919487,1.112228163348304,3.578045120239258,1.0374276471138,2.9187804508209227,1.0812272787094117
