epoch,train_total,train_coarse_kd,train_feat_kd,train_gt_sup,val_total,val_coarse_kd,val_feat_kd,val_gt_sup
1,5.960077167087131,1.975074840121799,4.594420825110541,1.6877919260660807,6.877995166778565,2.3142849969863892,4.429034938812256,2.349192657470703
2,4.490172508027818,1.309742873509725,3.911321031782362,1.2247691202163695,4.198682622909546,1.1743262553215026,3.598317890167236,1.2251974201202394
3,4.010508195029365,1.133098958598243,3.427269581688775,1.1637744535340204,3.8758647346496584,1.0695258593559265,3.2678203201293945,1.1724287271499634
4,3.7950264443291557,1.0641069118181865,3.218004197014703,1.121917434533437,3.76725266456604,1.0464129662513733,3.2211429119110107,1.1102682161331177
5,3.6969926113552516,1.040856442981296,3.1651916027069094,1.073540366490682,3.599315814971924,0.9951777958869934,3.1952402591705322,1.0065179061889649
6,3.583275307549371,0.9990336802270677,3.16416379292806,1.0021597403950162,3.5557967758178712,0.9951494693756103,3.1578864002227784,0.9817040896415711
7,3.5325519529978435,0.9846507546636794,3.1411326344807944,0.9773348805639479,3.506236848831177,0.9741966223716736,3.132815237045288,0.9656325912475586
8,3.4787696181403267,0.9760759668880039,3.1057145023345947,0.9498364000850253,3.4818222904205323,0.9441841602325439,3.1062366199493407,0.9845198011398315
9,3.415023980670505,0.9370080868403117,3.1096018261379665,0.9232149667210049,3.3939400196075438,0.9332282185554505,3.099798240661621,0.9108126616477966
10,3.360535757276747,0.9140528718630473,3.0955052704281276,0.8987302491399977,3.3839156913757322,0.9343349599838257,3.087290868759155,0.9059352827072144
11,3.3403583717346192,0.9058657778633965,3.0813253286149767,0.8938299322128296,3.30076078414917,0.8509526634216309,3.0947375106811523,0.9024393105506897
12,3.2976036633385553,0.8874092830551995,3.067295547061496,0.8765466038386027,3.291402883529663,0.8766513776779175,3.0814828968048094,0.8740100240707398
13,3.2974409124586317,0.8906706455018786,3.059533060921563,0.8770037285486857,3.2703765201568604,0.8325989675521851,3.0600718116760253,0.9077416563034058
14,3.2423436694675023,0.8614125103420681,3.048777435090807,0.8565424336327447,3.238214111328125,0.8585360145568848,3.025341854095459,0.867007143497467
15,3.2396945593092177,0.8580090557204353,3.044385363260905,0.8594928283161587,3.222531490325928,0.8268411684036255,3.023732051849365,0.8838242816925049
16,3.200919229719374,0.8391605395740933,3.031509739557902,0.8460038309627109,3.1755736541748045,0.7993466019630432,3.0293362140655518,0.8615589427947998
17,3.2048601807488337,0.8344727812872993,3.0372193686167397,0.8517777127689785,3.1905088424682617,0.7808288526535034,3.0046103191375733,0.9073748087882996
18,3.1816476609971787,0.8138410846392313,3.025841558244493,0.8548857927322387,3.1587812328338623,0.7842998695373535,3.0387032222747803,0.8551297187805176
19,3.165722336239285,0.8178225413958231,3.001752822664049,0.8470233819219801,3.141298942565918,0.7831760501861572,3.000230760574341,0.8580075025558471
20,3.1508738464779324,0.798563137849172,2.9997126706441244,0.8524543674786885,3.141674032211304,0.7822305297851563,2.99939169883728,0.8597476816177368
