epoch,train_total,train_coarse_kd,train_feat_kd,train_gt_sup,val_total,val_coarse_kd,val_feat_kd,val_gt_sup
1,1.5034108199013605,2.3574313333299424,5.102550775739882,1.5034108199013605,1.2699518728256225,1.976501407623291,4.958073711395263,1.2699518728256225
2,0.9929521221584744,2.011718627611796,5.0295757844713,0.9929521221584744,0.9258937096595764,2.067666745185852,5.025948696136474,0.9258937096595764
3,0.8732817861768934,1.9992104694578383,5.017339897155762,0.8732817861768934,0.8358946633338928,1.9616578006744385,5.025858917236328,0.8358946633338928
4,0.8028769903712802,2.006915096176995,5.000607393052843,0.8028769903712802,0.7561099028587341,1.9772201156616211,5.047715759277343,0.7561099028587341
5,0.7494189418686761,2.0237473095787895,5.004482248094347,0.7494189418686761,0.729571373462677,1.9707510805130004,4.996968479156494,0.729571373462677
6,0.717446785238054,2.0698861752616033,4.992175017462836,0.717446785238054,0.7054656386375427,1.9252195596694945,5.0195823097229,0.7054656386375427
7,0.6758682844373914,2.0718583975897893,4.983860526614719,0.6758682844373914,0.6357498717308044,2.0800630760192873,4.9617295074462895,0.6357498717308044
8,0.6407811118496789,2.0684893650478786,4.986916414896647,0.6407811118496789,0.6178333365917206,2.0736310386657717,5.01194616317749,0.6178333365917206
9,0.6075490253501469,2.053425685564677,4.983988054063585,0.6075490253501469,0.6009956157207489,2.0770645093917848,4.97896743774414,0.6009956157207489
10,0.5832782408926223,2.0904597663879394,4.974603926340739,0.5832782408926223,0.5650779235363007,2.106452212333679,4.947184886932373,0.5650779235363007
11,0.5638600293795267,2.093827647633023,4.980958283742269,0.5638600293795267,0.5256308162212372,1.9443106174468994,4.985274868011475,0.5256308162212372
12,0.5492381593916151,2.137951215108236,4.974876494937473,0.5492381593916151,0.5319575107097626,2.010401339530945,4.952158756256104,0.5319575107097626
13,0.5297632842593722,2.1299722125795153,4.9790268262227375,0.5297632842593722,0.5269134712219238,2.0597237968444824,4.938260726928711,0.5269134712219238
14,0.514466269546085,2.1455994764963786,4.971518467797173,0.514466269546085,0.5052256882190704,2.1954993391036988,4.986012477874755,0.5052256882190704
15,0.5047374779648252,2.1212840323978,4.95944219801161,0.5047374779648252,0.4888942086696625,2.125386290550232,4.961265392303467,0.4888942086696625
16,0.4909436836507585,2.1493286985821194,4.954098875257704,0.4909436836507585,0.476478271484375,2.28406879901886,4.973681430816651,0.476478271484375
17,0.4820465950171153,2.1249854686525134,4.963731259240045,0.4820465950171153,0.4917986512184143,2.18544529914856,4.970630054473877,0.4917986512184143
18,0.47390810979737175,2.1478596433003743,4.947213832007514,0.47390810979737175,0.4699369478225708,2.0969780921936034,4.959442462921142,0.4699369478225708
19,0.4646013287703196,2.152821407318115,4.95922985288832,0.4646013287703196,0.4886317908763885,2.100382785797119,4.95685380935669,0.4886317908763885
20,0.45686593929926556,2.1663211801317,4.961998456319173,0.45686593929926556,0.4427316963672638,2.0543469190597534,4.97512638092041,0.4427316963672638
